type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
BRCA1	0.890305804386405	0	0.0171887835246805	0.0240903390384935	0.0145416066693286	0	0.0351128927775055	0.0125600963575119	0.00620047724607498
BRCA1	0.805784981780075	0	0.0270613031217928	0.0372799721512851	0.0245374852206468	0	0.0567537187216018	0.0319204505825887	0.01666208842201
Control	0.625290224953909	0	0.0414197281143924	0.0659197111337979	0.0449924104590994	0	0.0768108938610399	0.142369831129625	0.00319720034813707
Control	0.354193822375524	0.0289439116664141	0.0378433870863819	0.0694182159412153	0.0486516164703951	0	0.081342285772995	0.379606760687074	0
Control	0.861866299812462	0	0.0204273163717996	0.0290300165438401	0.0217410154853387	0	0.0369148887120604	0.0216843003758945	0.00833616269860458
Control	0.836555811516578	0	0.0229085580428381	0.0343973740109243	0.0222137300248998	0	0.047816685294555	0.0266820158244187	0.00942582528578629
BRCA1	0.370034173166882	0.0355274478687752	0.0435366481274351	0.0532225405577095	0.0325414548043934	0	0.0814861340100839	0.383651601464721	0
Control	0.932719259191034	0	0.00939652447950321	0.0175718692929455	0.0106357923766063	0	0.0180009031834841	0.0063193018217875	0.00535634965463931
Control	0.635520129890162	0	0.0340957508381112	0.0571314796850191	0.0420058161969557	0	0.0780002018597558	0.15284623366275	0.000400387867246475
Control	0.882688670493946	0	0.0161402629845846	0.0203234499987942	0.0119311346172871	0	0.0427229572806913	0.0261935246246965	0
