cg15698548	immune.cell.proportion	type
0.682268207815761	0.608065540237698	Control
0.401420667971663	0.338339732996958	Control
0.881235922746879	0.874842118200641	Control
0.560944105893857	0.426373845818775	Control
0.803736036302387	0.818225991418923	Control
0.908358105330451	0.85886784339545	Control
0.446507644609852	0.444946459269088	Control
0.488513083968011	0.18160080901909	Control
0.485191123679967	0.143568144329135	Control
0.377567302775931	0.134637925306283	Control
0.276392316318258	0.0526372987498129	Control
0.652401633875846	0.567299564987915	Control
0.562850181458491	0.450113950201803	Control
0.869449505731584	0.830858612774047	Control
0.865832842658638	0.888470325580475	Control
0.893406473830644	0.765027510060956	Control
0.533277363067393	0.32072322478657	Control
0.780231672512521	0.678855486067014	Control
0.860105911502221	0.812770484413807	Control
0.173576503984438	0.0530448709755884	Control
0.89695652830065	0.926612861929941	Control
0.693442499251026	0.581087614303302	Control
0.374392460963507	0	Control
0.743464524638265	0.561477976064119	Control
0.495391277463663	0.387831229508756	Control
0.640893131883386	0.489179654522977	Control
0.504328395675015	0.287057746211832	Control
0.386484098943762	0.287714772209332	Control
0.876979026782333	0.870834752581134	Control
0.735292670613107	0.750173106264558	Control
0.909871350252419	0.891328139079021	Control
0.249247719671664	0.112564098837055	Control
0.589494600592087	0.203534220605548	Control
0.840989399255718	0.656453147182714	Control
0.706814922978007	0.619906403217294	Control
0.590482164853335	0.429540237016594	Control
0.156717120846057	0	Control
0.465005275659857	0	Control
0.688447891237587	0.572256701587372	Control
0.478964798835409	0.331003816089914	Control
0.672594041616478	0.585095350421458	Control
0.909185345088615	0.864027326381826	Control
0.187513503129368	0	Control
0.80267675089023	0.688280451994932	Control
0.837083773380748	0.742749230461866	Control
0.865712143499735	0.893092592482954	Control
0.797581205983588	0.690134100647212	Control
