immune cell proportion	TGCA-BC-index	type	tissue
0.499891392851338	-1.47275188266589	Control	Cervical sample
0.216960337364786	-1.41591772727148	Breast cancer	Cervical sample
0.412557856961349	-1.35026690645964	Control	Cervical sample
0.688876694059585	-1.87393206527285	Control	Cervical sample
0	-0.938640090106209	Breast cancer	Cervical sample
0.83732273793677	-1.22972521994818	Control	Cervical sample
0.461154906678642	-1.45667974427222	Breast cancer	Cervical sample
0.847511276910324	-1.80088454289014	Breast cancer	Cervical sample
0	-0.825694570519846	Control	Cervical sample
0.0146459579710545	-0.684824265466756	Breast cancer	Cervical sample
0.0979730554768622	-0.958250677063435	Control	Cervical sample
0.54249119894756	-1.20642353501058	Breast cancer	Cervical sample
0.133327403044873	-1.06164614504474	Control	Cervical sample
0.583085160266205	-1.5768515999879	Control	Cervical sample
0.0225721567255146	-1.08676560914226	Control	Cervical sample
0.746440326282182	-1.6673167932455	Breast cancer	Cervical sample
0.480512551060365	-0.954771731970185	Breast cancer	Cervical sample
0.204776594820699	-0.867792270823132	Control	Cervical sample
0.546083021803443	-1.26923344226115	Breast cancer	Cervical sample
0.422428674990024	-0.916594141984407	Breast cancer	Cervical sample
0.681052360113414	-1.47523952311299	Control	Cervical sample
0.626021382539566	-1.57383003367148	Control	Cervical sample
0.590271737463142	-1.32732866246036	Control	Cervical sample
0.404446988099133	-1.45072006123354	Control	Cervical sample
0.248219895226463	-0.916775709672254	Control	Cervical sample
0.280087776753981	-1.22336996069612	Breast cancer	Cervical sample
0.573856235294379	-1.30041425462431	Breast cancer	Cervical sample
0.889636913218704	-1.76863838367597	Breast cancer	Cervical sample
0.49332077192101	-1.38307497510976	Control	Cervical sample
0.642259656103987	-1.52108402610674	Control	Cervical sample
0.565597631032831	-1.28966097994405	Control	Cervical sample
0.905413807707843	-1.68437514420426	Breast cancer	Cervical sample
0.493032199321264	-1.46352390625579	Breast cancer	Cervical sample
0	-0.908688048824807	Control	Cervical sample
0.767342822151489	-1.59248879361634	Control	Cervical sample
0.527349590996378	-1.3704886828563	Control	Cervical sample
0.780887222238954	-1.79087035916279	Control	Cervical sample
0.442609248919443	-1.41108832299461	Control	Cervical sample
0.765201493930945	-1.65420606810675	Control	Cervical sample
0.937450403570339	-1.80807960762994	Breast cancer	Cervical sample
0.778195937067176	-1.67459113843104	Control	Cervical sample
0.0256626577924494	-0.974412057919242	Control	Cervical sample
0.892046087674694	-1.86124131352591	Control	Cervical sample
0.218480123660323	-1.45006543415541	Control	Cervical sample
0.521322321637276	-1.46274762694792	Control	Cervical sample
0.770594279558286	-1.52624554261358	Control	Cervical sample
0.581205780105005	-1.38328336904329	Control	Cervical sample
0.179820835244066	-1.16355287311492	Control	Cervical sample
0.31118433400871	-0.783416318425702	Control	Cervical sample
